instance,n_customers,n_vehicles_available,capacity,timeout_s,status,status_name,total_cost,vehicles_used,solve_time_s
C2_10_4.txt,1000,250,700,10.0,0,SUCCESS,17385.769875884056,33,10.476410485804081
C2_10_4.txt,1000,250,700,5.0,0,SUCCESS,18520.96113193035,35,5.211004175245762
C2_10_4.txt,1000,250,700,2.0,0,SUCCESS,18892.978393912315,38,2.7306528128683567
C2_10_5.txt,1000,250,700,60.0,0,SUCCESS,16612.609637379646,30,60.23926082998514
C2_10_5.txt,1000,250,700,10.0,0,SUCCESS,17886.190539479256,36,10.29838266596198
C2_10_5.txt,1000,250,700,5.0,0,SUCCESS,18195.54198372364,39,5.208224307745695
C2_10_5.txt,1000,250,700,2.0,0,SUCCESS,19461.59036743641,46,2.269258864223957
C2_10_6.txt,1000,250,700,60.0,0,SUCCESS,16391.82045662403,30,60.272673685103655
C2_10_6.txt,1000,250,700,10.0,0,SUCCESS,17122.269535899162,33,10.293969377875328
C2_10_6.txt,1000,250,700,5.0,0,SUCCESS,18179.76887857914,39,5.243982028216124
C2_10_6.txt,1000,250,700,2.0,0,SUCCESS,19264.35839164257,45,2.2208791598677635
C2_10_7.txt,1000,250,700,60.0,0,SUCCESS,16479.853500843048,30,60.37092334032059
C2_10_7.txt,1000,250,700,10.0,0,SUCCESS,17605.21884381771,34,10.250830795615911
C2_10_7.txt,1000,250,700,5.0,0,SUCCESS,18329.504381895065,39,5.236754480749369
C2_10_7.txt,1000,250,700,2.0,0,SUCCESS,19928.76452565193,44,2.3150242902338505
C2_10_8.txt,1000,250,700,60.0,0,SUCCESS,16319.558958649635,30,60.32411336153746
C2_10_8.txt,1000,250,700,10.0,0,SUCCESS,17303.090999484062,34,10.316329035907984
C2_10_8.txt,1000,250,700,5.0,0,SUCCESS,18275.167032122612,38,5.210171181708574
C2_10_8.txt,1000,250,700,2.0,0,SUCCESS,19377.550810813904,44,2.2669337801635265
C2_10_9.txt,1000,250,700,60.0,0,SUCCESS,16657.37202811241,30,60.51301222294569
C2_10_9.txt,1000,250,700,10.0,0,SUCCESS,17627.254694461823,34,10.406540978699923
C2_10_9.txt,1000,250,700,5.0,0,SUCCESS,18284.052095770836,38,5.209405709058046
C2_10_9.txt,1000,250,700,2.0,0,SUCCESS,19258.328327536583,44,2.2059521600604057
R1_10_1.txt,1000,250,200,60.0,0,SUCCESS,55145.303032159805,100,60.457382429391146
R1_10_1.txt,1000,250,200,10.0,0,SUCCESS,56115.79862856865,100,10.46396553516388
R1_10_1.txt,1000,250,200,5.0,0,SUCCESS,56757.48460769653,100,5.3503909558057785
R1_10_1.txt,1000,250,200,2.0,0,SUCCESS,56961.32284128666,101,2.7123280726373196
R1_10_10.txt,1000,250,200,60.0,0,SUCCESS,52051.28910624981,91,60.79352504387498
R1_10_10.txt,1000,250,200,10.0,0,SUCCESS,53892.353998184204,91,10.587528869509697
R1_10_10.txt,1000,250,200,5.0,0,SUCCESS,50834.14954817295,92,5.432594954967499
R1_10_10.txt,1000,250,200,2.0,0,SUCCESS,50879.71742892265,92,2.6216392256319523
R1_10_2.txt,1000,250,200,60.0,0,SUCCESS,53637.78216910362,91,60.42730072885752
R1_10_2.txt,1000,250,200,10.0,0,SUCCESS,51627.87757456303,92,10.547827932983637
R1_10_2.txt,1000,250,200,5.0,0,SUCCESS,52210.462743639946,92,5.4401901587843895
R1_10_2.txt,1000,250,200,2.0,0,SUCCESS,52391.79396724701,92,2.9840695336461067
R1_10_3.txt,1000,250,200,60.0,0,SUCCESS,48414.649121403694,91,60.53063124418259
R1_10_3.txt,1000,250,200,10.0,0,SUCCESS,49631.867614507675,91,10.559602677822113
R1_10_3.txt,1000,250,200,5.0,0,SUCCESS,50460.85484910011,91,5.633133314549923
R1_10_3.txt,1000,250,200,2.0,0,SUCCESS,48538.47095787525,92,2.9295944683253765
R1_10_4.txt,1000,250,200,60.0,0,SUCCESS,45163.92823421955,91,60.82997031509876
R1_10_4.txt,1000,250,200,10.0,0,SUCCESS,46180.89769613743,91,10.46250730380416
R1_10_4.txt,1000,250,200,5.0,0,SUCCESS,46427.11094403267,91,5.3519792929291725
R1_10_4.txt,1000,250,200,2.0,0,SUCCESS,45247.29771363735,92,2.687871690839529
R1_10_5.txt,1000,250,200,60.0,0,SUCCESS,56158.34499287605,91,60.668720960617065
R1_10_5.txt,1000,250,200,10.0,0,SUCCESS,54061.4355032444,92,10.433787520974874
R1_10_5.txt,1000,250,200,5.0,0,SUCCESS,53946.1962287426,92,5.44162529706955
R1_10_5.txt,1000,250,200,2.0,0,SUCCESS,54017.28018558025,93,2.8451296389102936
R1_10_6.txt,1000,250,200,60.0,0,SUCCESS,51738.45389854908,91,60.44069980084896
R1_10_6.txt,1000,250,200,10.0,0,SUCCESS,52860.988550782204,91,10.536693584173918
R1_10_6.txt,1000,250,200,5.0,0,SUCCESS,50358.01364135742,92,5.695752829313278
R1_10_6.txt,1000,250,200,2.0,0,SUCCESS,50738.13321864605,93,2.5290916338562965
R1_10_7.txt,1000,250,200,60.0,0,SUCCESS,47529.73415064812,91,60.83534261211753
R1_10_7.txt,1000,250,200,10.0,0,SUCCESS,48146.350382208824,91,10.423670683056116
R1_10_7.txt,1000,250,200,5.0,0,SUCCESS,49760.189613342285,91,5.546109214425087
R1_10_7.txt,1000,250,200,2.0,0,SUCCESS,47342.892125725746,92,3.0312908217310905
R1_10_8.txt,1000,250,200,60.0,0,SUCCESS,44945.47058022022,91,60.50883648172021
R1_10_8.txt,1000,250,200,10.0,0,SUCCESS,45723.95893192291,91,10.377482067793608
R1_10_8.txt,1000,250,200,5.0,0,SUCCESS,45623.24289166927,91,5.323691003024578
R1_10_8.txt,1000,250,200,2.0,0,SUCCESS,46357.19630420208,91,3.349867809563875
R1_10_9.txt,1000,250,200,60.0,0,SUCCESS,54325.361948251724,91,60.42384998127818
R1_10_9.txt,1000,250,200,10.0,0,SUCCESS,56629.19838774204,91,10.511077042669058
R1_10_9.txt,1000,250,200,5.0,0,SUCCESS,53002.64958798885,92,5.302240267395973
R1_10_9.txt,1000,250,200,2.0,0,SUCCESS,52528.28771197796,93,2.3396288566291332
R2_10_1.txt,1000,250,1000,60.0,0,SUCCESS,44296.59768176079,19,60.310676880180836
R2_10_1.txt,1000,250,1000,10.0,0,SUCCESS,45415.66844820976,19,10.290224961936474
R2_10_1.txt,1000,250,1000,5.0,0,SUCCESS,43981.41069340706,20,5.3510934710502625
